Part of speech,Word,Syllable Count,Plural?
Article,The,1,false
Article,A,1,false
Pronoun,He,1,false
Pronoun,She,1,false
Pronoun,It,1,false
Possessive,His,1,false
Possessive,Her,1,false
Possessive,Its,1,false
Possessive,Their,1,false
Preposition,In,1,false
Preposition,Of,1,false
Preposition,Off,1,false
Preposition,At,1,false
Preposition,By,1,false
Preposition,For,1,false
Preposition,Past,1,false
Noun,Frog,1,false
Noun,Pond,1,false
Noun,Time,1,false
Noun,World,1,false
Verb,Holds,1,false
Verb,Jumps,1,false
Verb,Falls,1,false
Verb,Is,1,false
Adjective,Dark,1,false
Adjective,Old,1,false
Adjective,Hard,1,false
Adjective,Kind,1,false
Verb,Shines,1,false
Noun,Light,1,false
Adjective,All,1,false
Preposition,As,1,false
verb,Helps,1,false
verb,Tries,1,false
noun,Door,1,false
verb,climb,1,true
verb,sat,1,false
preposition,on,1,false
verb,thinks,1,false
noun,thing,1,false
verb,lets,1,false
Preposition,Under,2,false
Preposition,Around,2,false
Preposition,Inside,2,false
Preposition,Beyond,2,false
Preposition,Behind,2,false
Preposition,Onto,2,false
Preposition,Between,2,false
Preposition,Into,2,false
Noun,Doormat,2,false
Noun,Handle,2,false
Noun,Flower,2,false
Noun,Candle,2,false
Verb,Handles,2,false
Verb,Struggles,2,false
Verb,Explores,2,false
Verb,Submits,2,false
Adjective,Wooden,2,false
Adjective,Silent,2,false
Adjective,Playful,2,false
Adjective,Angry,2,false
Preposition,Upon,2,false
Noun,Creature,2,false
noun,Pigeon,2,false
noun,Garden,2,false
adjective,unknown,2,false
noun,eclipse,2,false
adjective,ponderous,3,false
Preposition,Alongside,3,false
Noun,Cutlery,3,false
Noun,Piano,3,false
Noun,Memory,3,false
Noun,Adventure,3,false
Verb,Celebrates,3,false
Verb,Amplifies,3,false
Verb,Delivers,3,false
Verb,Satiates,3,false
Adjective,Feminine,3,false
Adjective,Natural,3,false
Adjective,Imperfect,3,false
Adjective,Undefined,3,false
noun,youtuber,3,false
noun,entropy,3,false
adjective,enigmatic,4,false
verb,fall,1,true
verb,pray,1,true
verb,sing,1,true
verb,falter,2,true
verb,run,1,true
noun,terrace,2,false
adjective,brown,1,false
noun,leaf,1,false
adjective,dry,1,false
verb,quivers,2,false
adjective,sudden,2,false
noun,gust,1,false
noun,branches,2,true
verb,snap,1,true
noun,beauty,2,false
adjective,dying,2,false
noun,orbs,1,true
adjective,heavy,2,false
noun,leaves,1,true
verb,help,1,true
adjective,good,1,false
